time_s,event
0,exit
16.5,enter
49.3,exit
1:21.7,enter
1:50.9,exit
2:26.6,enter
2:51.7,exit
3:11.7,enter
3:39.1,exit
4:04.6,enter
4:39.6,exit
4:55.8,enter
5:21.5,exit
5:58.3,enter
6:24.9,exit
6:59.2,enter
7:25.5,exit
8:00,enter
8:30,exit
9:03,enter
9:31,exit
10:12.2,enter
10:37.8,exit
11:13,enter
11:40,exit
12:14,enter
12:28.2,exit
13:09.3,enter
13:36,exit
14:09,enter
14:33.3,exit
14:57.3,enter
15:25.9,exit
15:59.5,enter
16:25.3,exit
16:55.9,enter
17:23.5,exit
