time_s,event
0,exit
26.5,enter
1:13.8,exit
1:46.8,enter
2:38.7,exit
3:16.6,enter
4:11.2,exit
4:36.4,enter
5:28.6,exit
6:11.1,enter
7:00,exit
7:38.3,enter
8:24,exit
9:14.3,enter
10:02,exit
10:28.5,enter
11:17.8,exit
12:06.6,enter
12:52.1,exit
13:22.9,enter
14:14.9,exit
15:01.5,enter
15:48.4,exit
16:15.8,enter
17:05.1,exit
18:03.6,enter
18:56.9,exit
19:38,enter
20:29.6,exit
