time_s,event
0,exit
23,enter
58,exit
1:21.6,enter
1:57.1,exit
2:47,enter
3:26,exit
3:49,enter
4:27.7,exit
5:07.5,enter
5:46,exit
6:11.9,enter
6:50.3,exit
7:35.5,enter
8:16.5,exit
8:32,enter
9:10,exit
9:54,enter
10:33,exit
11:02.1,enter
11:41.3,exit
12:33,enter
13:17,exit
13:45.7,enter
14:29.5,exit
15:17.1,enter
15:55.5,exit
16:25.2,enter
17:03,exit
