time_s,event
0,exit
20,enter
45.5,exit
1:12.5,enter
1:40.6,exit
2:23.5,enter
2:48.5,exit
3:18.6,enter
3:51,exit
4:35.5,enter
5:04.8,exit
5:29.5,enter
6:02.5,exit
6:46.5,enter
7:17.5,exit
7:50.8,enter
8:23.6,exit
9:11.4,enter
9:43.6,exit
10:13.5,enter
10:47.5,exit
11:34.5,enter
12:02.6,exit
12:34.6,enter
13:07.5,exit
13:53,enter
14:22,exit
14:54.9,enter
15:25.7,exit
16:13.1,enter
16:41.8,exit
17:15,enter
17:46,exit
