time_s,event
0,exit
17.3,enter
48.8,exit
1:20,enter
1:52,exit
2:40,enter
3:11.4,exit
3:45.7,enter
4:19.8,exit
5:06.6,enter
5:38.4,exit
6:10.7,enter
6:44.1,exit
7:29.8,enter
8:02,exit
8:40,enter
9:13.7,exit
10:02,enter
10:35.5,exit
11:10.7,enter
11:51.5,exit
12:39.8,enter
13:15.8,exit
13:50.2,enter
14:27.5,exit
15:17.4,enter
15:50.5,exit
16:21,enter
16:56,exit
