Parameter,Our_DTC,Paper_DTC,Abs_Error_Pt
Stride Lengths,18.403144638881933,6.058975318957957,12.344169319923976
Stride Times,6.00289390677532,-5.298778054798509,11.30167196157383
Swing Times,9.435548220063092,-3.6909531572150787,13.12650137727817
Stance Times,-5.953573078959243,-6.557295457543702,0.6037223785844592
Stance Ratios,2.5857892864437884,-1.163911642344159,3.7497009287879473
Cadence,-0.7783308473914693,4.838275615563317,5.6166064629547865
Speed,16.17911657862898,10.46928043965863,5.709836138970351
